Time,Force_X,Force_Y,Ref_X,Force_X_Trajectory_1,Force_Y_Trajectory_1,Ref_X_Trajectory_1,Trajectory,Force_X_Negative,Force_Y_Positive
1.96,-0.04461618982355077,0.017141188018871524,600.0,-0.04461618982355077,0.017141188018871524,600.0,1.0,-0.04461618982355077,0.017141188018871524
1.98,-0.04442895535328559,0.01730534384800289,600.0,-0.04442895535328559,0.01730534384800289,600.0,1.0,-0.04442895535328559,0.01730534384800289
2.0,-0.044395332770372956,0.01550881875910413,600.0,-0.044395332770372956,0.01550881875910413,600.0,1.0,-0.044395332770372956,0.01550881875910413
2.02,-0.04462014592308306,0.012221935426774919,599.9999999999995,-0.04462014592308306,0.012221935426774919,599.9999999999995,1.0,-0.04462014592308306,0.012221935426774919
2.04,-0.04492180124928947,0.008357307377890772,599.9999999999736,-0.04492180124928947,0.008357307377890772,599.9999999999736,1.0,-0.04492180124928947,0.008357307377890772
2.06,-0.04493245310957764,0.004941652896945049,599.9999999998995,-0.04493245310957764,0.004941652896945049,599.9999999998995,1.0,-0.04493245310957764,0.004941652896945049
2.08,-0.04436899315851916,0.002625340541494266,599.9999999992461,-0.04436899315851916,0.002625340541494266,599.9999999992461,1.0,-0.04436899315851916,0.002625340541494266
2.1,-0.043243355513805926,0.0013884785781039073,599.9999999936305,-0.043243355513805926,0.0013884785781039073,599.9999999936305,1.0,-0.043243355513805926,0.0013884785781039073
2.12,-0.04184013842162809,0.0007075620412433781,599.999999981057,-0.04184013842162809,0.0007075620412433781,599.999999981057,1.0,-0.04184013842162809,0.0007075620412433781
2.14,-0.040540984874212115,-0.00015228222623773558,599.9999999524247,-0.040540984874212115,-0.00015228222623773558,599.9999999524247,1.0,-0.040540984874212115,
2.16,-0.039649803672589856,-0.001658722777397757,599.9999998944195,-0.039649803672589856,-0.001658722777397757,599.9999998944195,1.0,-0.039649803672589856,
2.18,-0.03900759000877034,-0.003819780433065925,599.9999996004785,-0.03900759000877034,-0.003819780433065925,599.9999996004785,1.0,-0.03900759000877034,
2.2,-0.037888341837612534,-0.006443605304904119,599.9999994656831,-0.037888341837612534,-0.006443605304904119,599.9999994656831,1.0,-0.037888341837612534,
2.22,-0.035811023167891,-0.009221574935546522,599.9999990814665,-0.035811023167891,-0.009221574935546522,599.9999990814665,1.0,-0.035811023167891,
2.24,-0.03311199351524893,-0.011594929387419744,599.9999980948367,-0.03311199351524893,-0.011594929387419744,599.9999980948367,1.0,-0.03311199351524893,
2.26,-0.030631434999027807,-0.012736750487108933,599.9999970400731,-0.030631434999027807,-0.012736750487108933,599.9999970400731,1.0,-0.030631434999027807,
2.28,-0.02919728704212667,-0.011998076846581954,599.9999963538,-0.02919728704212667,-0.011998076846581954,599.9999963538,1.0,-0.02919728704212667,
2.3,-0.02932193273566969,-0.009556455629895735,599.9999945817274,-0.02932193273566969,-0.009556455629895735,599.9999945817274,1.0,-0.02932193273566969,
2.32,-0.030992036286397774,-0.0063550752894844876,599.9999906261426,-0.030992036286397774,-0.0063550752894844876,599.9999906261426,1.0,-0.030992036286397774,
2.34,-0.03368947687984595,-0.003438819687260073,599.9999868449088,-0.03368947687984595,-0.003438819687260073,599.9999868449088,1.0,-0.03368947687984595,
2.36,-0.036715628595810686,-0.0015053251583303296,599.9999818777222,-0.036715628595810686,-0.0015053251583303296,599.9999818777222,1.0,-0.036715628595810686,
2.38,-0.03937317357713029,-0.0005728919487263165,599.9999788644093,-0.03937317357713029,-0.0005728919487263165,599.9999788644093,1.0,-0.03937317357713029,
2.4,-0.04120461377003112,0.00010537727143932451,599.9999672307423,-0.04120461377003112,0.00010537727143932451,599.9999672307423,1.0,-0.04120461377003112,0.00010537727143932451
2.42,-0.04231224171364013,0.0016544773809393687,599.9999507295788,-0.04231224171364013,0.0016544773809393687,599.9999507295788,1.0,-0.04231224171364013,0.0016544773809393687
2.44,-0.0431198122121026,0.004201941165057902,599.9999438989767,-0.0431198122121026,0.004201941165057902,599.9999438989767,1.0,-0.0431198122121026,0.004201941165057902
2.46,-0.04390455422619576,0.006413982657684624,599.9999278734508,-0.04390455422619576,0.006413982657684624,599.9999278734508,1.0,-0.04390455422619576,0.006413982657684624
2.48,-0.044782093832113644,0.007293076205472417,599.9998968660809,-0.044782093832113644,0.007293076205472417,599.9998968660809,1.0,-0.044782093832113644,0.007293076205472417
2.5,-0.04579304115588264,0.006765444581424399,599.9998706235032,-0.04579304115588264,0.006765444581424399,599.9998706235032,1.0,-0.04579304115588264,0.006765444581424399
2.52,-0.04672742132863679,0.005093393207109629,599.9998555651667,-0.04672742132863679,0.005093393207109629,599.9998555651667,1.0,-0.04672742132863679,0.005093393207109629
2.54,-0.047142432186434755,0.002677080276088715,599.9998014437249,-0.047142432186434755,0.002677080276088715,599.9998014437249,1.0,-0.047142432186434755,0.002677080276088715
2.56,-0.04654954074085286,-0.0001381432780608649,599.9997568013528,-0.04654954074085286,-0.0001381432780608649,599.9997568013528,1.0,-0.04654954074085286,
2.58,-0.044567058077538045,-0.003001163024470212,599.9997041708333,-0.044567058077538045,-0.003001163024470212,599.9997041708333,1.0,-0.044567058077538045,
2.6,-0.041482772721077386,-0.00525673592154712,599.9995705003877,-0.041482772721077386,-0.00525673592154712,599.9995705003877,1.0,-0.041482772721077386,
2.62,-0.03847036845315322,-0.005984163958483011,599.9995302677895,-0.03847036845315322,-0.005984163958483011,599.9995302677895,1.0,-0.03847036845315322,
2.64,-0.03667922665241867,-0.00494159677812618,599.9994404394348,-0.03667922665241867,-0.00494159677812618,599.9994404394348,1.0,-0.03667922665241867,
2.66,-0.036445268955305934,-0.003013531775150893,599.9993368877695,-0.036445268955305934,-0.003013531775150893,599.9993368877695,1.0,-0.036445268955305934,
2.68,-0.03745671430759495,-0.0012165993953646515,599.9991523033132,-0.03745671430759495,-0.0012165993953646515,599.9991523033132,1.0,-0.03745671430759495,
