Normalized_Time,Mean_Force_X_Negative,Std_Force_X_Negative,Mean_Force_Y_Positive,Std_Force_Y_Positive
0.0,-0.00991037288771506,0.017165269363475573,0.0019427788603467472,0.003364991693991327
0.0015479876160990713,-0.00919099698153667,0.0159192737442337,0.0011658855389475474,0.0020193729892669754
0.0030959752321981426,-0.008755786171610009,0.015165466509437526,0.0005369563050099812,0.0009300356017217384
0.0046439628482972135,-0.008604910937521117,0.014904142938391715,9.526628563913309e-05,0.0001650060469753478
0.006191950464396285,-0.008688935259280831,0.015049677332751057,0.0,0.0
0.007739938080495357,-0.008964398542169596,0.015526793734334115,0.0,0.0
0.009287925696594427,-0.009367289803497889,0.01622462186888023,0.00035226155344440595,0.0006101349081188505
0.010835913312693499,-0.009777777968165643,0.016935608225990478,0.0009110997459574024,0.0015780710507613178
0.01238390092879257,-0.010056535259576949,0.017418430017695143,0.0015273001051177473,0.002645361380469225
0.013931888544891642,-0.010110728187684713,0.01751229492258872,0.0021348585252586216,0.0036976834327194985
0.015479876160990714,-0.009912352394359794,0.017168697969558173,0.0025848664449572116,0.004477120013445831
0.017027863777089786,-0.009523323844617971,0.0164948807558105,0.002710694921879,0.004695061328513376
0.018575851393188854,-0.009097001603584782,0.015756468973944393,0.002538013198738963,0.0043959678104962905
0.020123839009287926,-0.008794405850366605,0.015232357755215937,0.00224202841468991,0.003883307126256028
0.021671826625386997,-0.008713152304365144,0.015091622485246273,0.001984650829100917,0.003437516071286485
0.02321981424148607,-0.008870377476423904,0.015363944471480803,0.0018593365918553682,0.003220465445465454
0.02476780185758514,-0.009229240584463023,0.015985513607566636,0.0019152970431672229,0.0033173917903520705
0.026315789473684213,-0.009717529572237713,0.01683125494316878,0.002195170367965354,0.003802146608585661
0.027863777089783284,-0.01022045230680024,0.01770234267171255,0.0027112524230988202,0.004696026948951387
0.029411764705882356,-0.010607021783657123,0.018371900646283995,0.003363135505079913,0.005825121567537227
0.030959752321981428,-0.010790750386420602,0.01869012792107398,0.003980679452728155,0.006894739060770639
0.032507739938080496,-0.010753032140581978,0.01862479800290911,0.004453306306872502,0.007713352785170092
